GEOID,Census_Tract,NAME,LOWEST_QUINTILE,SECOND_QUINTILE,THIRD_QUINTILE,FOURTH_QUINTILE,HIGHEST_QUINTILE,TOP5_QUINTILE
1400000US53033031100,53033031100,"Census Tract 311, King County, Washington",16205,44475,66078,92967,163064,215558
1400000US53033031202,53033031202,"Census Tract 312.02, King County, Washington",32999,64941,104840,156013,307241,477460
1400000US53033031204,53033031204,"Census Tract 312.04, King County, Washington",40059,70900,108204,155917,263596,386417
1400000US53033031205,53033031205,"Census Tract 312.05, King County, Washington",16403,48261,71499,105286,193122,242151
1400000US53033031206,53033031206,"Census Tract 312.06, King County, Washington",25004,50650,78351,111284,197622,305464
1400000US53033031301,53033031301,"Census Tract 313.01, King County, Washington",19515,48388,79304,118521,216779,351026
1400000US53033031302,53033031302,"Census Tract 313.02, King County, Washington",15393,31741,52827,86982,197753,329594
1400000US53033031400,53033031400,"Census Tract 314, King County, Washington",15475,45241,74508,104840,195898,321941
1400000US53033031501,53033031501,"Census Tract 315.01, King County, Washington",19022,57864,88128,134988,269497,417028
1400000US53033031502,53033031502,"Census Tract 315.02, King County, Washington",23091,46952,82962,132003,229607,337662
1400000US53033031601,53033031601,"Census Tract 316.01, King County, Washington",32280,79296,108564,158322,267544,364505
1400000US53033031603,53033031603,"Census Tract 316.03, King County, Washington",16233,64085,114871,162979,285061,420450
1400000US53033031604,53033031604,"Census Tract 316.04, King County, Washington",42933,81628,104321,137210,243611,358503
1400000US53033031605,53033031605,"Census Tract 316.05, King County, Washington",41622,80399,114414,168901,301559,423764
1400000US53033031703,53033031703,"Census Tract 317.03, King County, Washington",21490,55164,95697,150810,399226,744627
1400000US53033031704,53033031704,"Census Tract 317.04, King County, Washington",35414,69730,102301,147015,266010,425754
1400000US53033031705,53033031705,"Census Tract 317.05, King County, Washington",36772,81306,119965,160395,227120,296984
1400000US53033031706,53033031706,"Census Tract 317.06, King County, Washington",21323,65208,97267,136796,237242,369367
1400000US53033031800,53033031800,"Census Tract 318, King County, Washington",36996,84297,117769,156379,316545,545146
1400000US53033031903,53033031903,"Census Tract 319.03, King County, Washington",25673,64976,115771,171489,348499,530213
1400000US53033031904,53033031904,"Census Tract 319.04, King County, Washington",30487,71802,107700,157312,299499,538866
1400000US53033031906,53033031906,"Census Tract 319.06, King County, Washington",28951,74254,112836,181384,264307,328347
1400000US53033031907,53033031907,"Census Tract 319.07, King County, Washington",29545,66590,96913,138589,223720,307201
1400000US53033031908,53033031908,"Census Tract 319.08, King County, Washington",16712,46616,79877,116988,187023,297093
1400000US53033031909,53033031909,"Census Tract 319.09, King County, Washington",34082,70182,105691,139529,220881,291719
1400000US53033032002,53033032002,"Census Tract 320.02, King County, Washington",23508,67235,96005,126519,250771,400559
1400000US53033032003,53033032003,"Census Tract 320.03, King County, Washington",31588,80626,115699,162589,378663,722902
1400000US53033032005,53033032005,"Census Tract 320.05, King County, Washington",38770,70259,99836,124662,253575,441201
1400000US53033032006,53033032006,"Census Tract 320.06, King County, Washington",31553,67286,101370,148443,271012,434745
1400000US53033032007,53033032007,"Census Tract 320.07, King County, Washington",36503,74715,110741,152124,278673,393029
1400000US53033032008,53033032008,"Census Tract 320.08, King County, Washington",41461,79826,108907,142533,211603,275531
1400000US53033032010,53033032010,"Census Tract 320.10, King County, Washington",23475,86562,121638,152285,245235,373727
1400000US53033032011,53033032011,"Census Tract 320.11, King County, Washington",43995,84609,114749,148809,240804,349218
1400000US53033032102,53033032102,"Census Tract 321.02, King County, Washington",33435,86329,123651,174951,318048,486950
1400000US53033032103,53033032103,"Census Tract 321.03, King County, Washington",22164,62659,86493,111761,206808,326340
1400000US53033032104,53033032104,"Census Tract 321.04, King County, Washington",23413,62869,101466,159458,284151,446874
1400000US53033032203,53033032203,"Census Tract 322.03, King County, Washington",63434,126611,180408,252790,478441,721883
1400000US53033032207,53033032207,"Census Tract 322.07, King County, Washington",43435,99878,167620,251475,526654,905887
1400000US53033032208,53033032208,"Census Tract 322.08, King County, Washington",27193,67808,120250,177384,342518,547118
1400000US53033032210,53033032210,"Census Tract 322.10, King County, Washington",34328,87942,134777,184060,323171,475529
1400000US53033032211,53033032211,"Census Tract 322.11, King County, Washington",50068,106203,152462,204246,370729,610332
1400000US53033032212,53033032212,"Census Tract 322.12, King County, Washington",38925,103764,148175,210781,391360,627611
1400000US53033032213,53033032213,"Census Tract 322.13, King County, Washington",68214,127406,175741,250013,474344,737007
1400000US53033032214,53033032214,"Census Tract 322.14, King County, Washington",78854,137902,180202,248445,463859,707672
1400000US53033032215,53033032215,"Census Tract 322.15, King County, Washington",59814,160667,222949,286856,565796,948983
